State,District,Crop,Year,Season,Area,Production,Yield
Himachal Pradesh,BILASPUR,Arhar/Tur, 1998-99,Kharif     ,4,1,0.25
Himachal Pradesh,BILASPUR,Arhar/Tur, 1999-00,Kharif     ,1,0,0
Himachal Pradesh,BILASPUR,Arhar/Tur, 2000-01,Kharif     ,3,1,0.33
Himachal Pradesh,BILASPUR,Arhar/Tur, 2001-02,Kharif     ,11,3,0.27
Himachal Pradesh,BILASPUR,Arhar/Tur, 2002-03,Kharif     ,17,4,0.24
Himachal Pradesh,BILASPUR,Arhar/Tur, 2005-06,Kharif     ,4,2,0.5
Himachal Pradesh,BILASPUR,Arhar/Tur, 2007-08,Kharif     ,2,1,0.5
Himachal Pradesh,BILASPUR,Arhar/Tur, 2018-19,Kharif     ,3,1,0.33
Himachal Pradesh,BILASPUR,Arhar/Tur, 2019-20,Kharif     ,4,4,1
Himachal Pradesh,CHAMBA,Arhar/Tur, 2006-07,Kharif     ,45,16,0.36
Himachal Pradesh,CHAMBA,Arhar/Tur, 2018-19,Kharif     ,6,3,0.5
Himachal Pradesh,CHAMBA,Arhar/Tur, 2019-20,Kharif     ,16,12,0.75
Himachal Pradesh,KANGRA,Arhar/Tur, 1999-00,Kharif     ,2,0,0
Himachal Pradesh,KANGRA,Arhar/Tur, 2000-01,Kharif     ,1,1,1
Himachal Pradesh,KANGRA,Arhar/Tur, 2001-02,Kharif     ,24,6,0.25
Himachal Pradesh,KANGRA,Arhar/Tur, 2007-08,Kharif     ,17,6,0.35
Himachal Pradesh,KANGRA,Arhar/Tur, 2008-09,Kharif     ,1,,0
Himachal Pradesh,KANGRA,Arhar/Tur, 2009-10,Kharif     ,1,,0
Himachal Pradesh,KANGRA,Arhar/Tur, 2010-11,Kharif     ,1,,0
Himachal Pradesh,KANGRA,Arhar/Tur, 2011-12,Kharif     ,1,,0
Himachal Pradesh,KANGRA,Arhar/Tur, 2012-13,Kharif     ,5,1,0.2
Himachal Pradesh,KANGRA,Arhar/Tur, 2013-14,Kharif     ,22,6,0.27
Himachal Pradesh,KANGRA,Arhar/Tur, 2014-15,Kharif     ,9,3,0.33
Himachal Pradesh,KANGRA,Arhar/Tur, 2015-16,Kharif     ,12,3,0.25
Himachal Pradesh,KANGRA,Arhar/Tur, 2016-17,Kharif     ,1,,0
Himachal Pradesh,KANGRA,Arhar/Tur, 2017-18,Kharif     ,12,5,0.42
Himachal Pradesh,KANGRA,Arhar/Tur, 2018-19,Kharif     ,19,10,0.53
Himachal Pradesh,KANGRA,Arhar/Tur, 2019-20,Kharif     ,28,17,0.61
Himachal Pradesh,KULLU,Arhar/Tur, 2000-01,Kharif     ,98,15,0.15
Himachal Pradesh,KULLU,Arhar/Tur, 2001-02,Kharif     ,1370,312,0.23
Himachal Pradesh,KULLU,Arhar/Tur, 2018-19,Kharif     ,4,2,0.5
Himachal Pradesh,KULLU,Arhar/Tur, 2019-20,Kharif     ,11,6,0.55
Himachal Pradesh,MANDI,Arhar/Tur, 1999-00,Kharif     ,19,3,0.16
Himachal Pradesh,MANDI,Arhar/Tur, 2000-01,Kharif     ,28,4,0.14
Himachal Pradesh,MANDI,Arhar/Tur, 2001-02,Kharif     ,1,1,1
Himachal Pradesh,MANDI,Arhar/Tur, 2005-06,Kharif     ,1,,0
Himachal Pradesh,SHIMLA,Arhar/Tur, 1998-99,Kharif     ,24,6,0.25
Himachal Pradesh,SHIMLA,Arhar/Tur, 1999-00,Kharif     ,102,23,0.23
Himachal Pradesh,SHIMLA,Arhar/Tur, 2000-01,Kharif     ,66,10,0.15
Himachal Pradesh,SHIMLA,Arhar/Tur, 2001-02,Kharif     ,73,16,0.22
Himachal Pradesh,SHIMLA,Arhar/Tur, 2002-03,Kharif     ,49,11,0.22
Himachal Pradesh,SHIMLA,Arhar/Tur, 2005-06,Kharif     ,4,2,0.5
Himachal Pradesh,SHIMLA,Arhar/Tur, 2006-07,Kharif     ,105,35,0.33
Himachal Pradesh,SHIMLA,Arhar/Tur, 2007-08,Kharif     ,27,9,0.33
Himachal Pradesh,SHIMLA,Arhar/Tur, 2008-09,Kharif     ,12,1,0.08
Himachal Pradesh,SHIMLA,Arhar/Tur, 2009-10,Kharif     ,10,2,0.2
Himachal Pradesh,SHIMLA,Arhar/Tur, 2010-11,Kharif     ,7,2,0.29
Himachal Pradesh,SHIMLA,Arhar/Tur, 2011-12,Kharif     ,10,3,0.3
Himachal Pradesh,SHIMLA,Arhar/Tur, 2012-13,Kharif     ,10,4,0.4
Himachal Pradesh,SHIMLA,Arhar/Tur, 2013-14,Kharif     ,33,9,0.27
Himachal Pradesh,SHIMLA,Arhar/Tur, 2014-15,Kharif     ,10,4,0.4
Himachal Pradesh,SHIMLA,Arhar/Tur, 2015-16,Kharif     ,18,8,0.44
Himachal Pradesh,SHIMLA,Arhar/Tur, 2016-17,Kharif     ,9,1,0.11
Himachal Pradesh,SHIMLA,Arhar/Tur, 2017-18,Kharif     ,18,11,0.61
Himachal Pradesh,SHIMLA,Arhar/Tur, 2018-19,Kharif     ,8,4,0.5
Himachal Pradesh,SHIMLA,Arhar/Tur, 2019-20,Kharif     ,9,5,0.56
Himachal Pradesh,SIRMAUR,Arhar/Tur, 1998-99,Kharif     ,7,2,0.29
Himachal Pradesh,SIRMAUR,Arhar/Tur, 1999-00,Kharif     ,11,2,0.18
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2005-06,Kharif     ,34,16,0.47
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2007-08,Kharif     ,2,1,0.5
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2008-09,Kharif     ,2,1,0.5
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2009-10,Kharif     ,1,1,1
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2010-11,Kharif     ,1,1,1
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2011-12,Kharif     ,1,1,1
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2012-13,Kharif     ,6,2,0.33
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2013-14,Kharif     ,16,8,0.5
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2014-15,Kharif     ,1,,0
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2015-16,Kharif     ,15,4,0.27
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2016-17,Kharif     ,1,1,1
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2017-18,Kharif     ,15,7,0.47
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2018-19,Kharif     ,9,5,0.56
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2019-20,Kharif     ,9,6,0.67
Himachal Pradesh,SOLAN,Arhar/Tur, 1998-99,Kharif     ,93,21,0.23
Himachal Pradesh,SOLAN,Arhar/Tur, 1999-00,Kharif     ,20,5,0.25
Himachal Pradesh,SOLAN,Arhar/Tur, 2000-01,Kharif     ,66,11,0.17
Himachal Pradesh,SOLAN,Arhar/Tur, 2001-02,Kharif     ,1,1,1
Himachal Pradesh,SOLAN,Arhar/Tur, 2002-03,Kharif     ,7,2,0.29
Himachal Pradesh,SOLAN,Arhar/Tur, 2007-08,Kharif     ,1,,0
Himachal Pradesh,UNA,Arhar/Tur, 2000-01,Kharif     ,10,2,0.2
Himachal Pradesh,UNA,Arhar/Tur, 2002-03,Kharif     ,261,35,0.13
